X,y
"[51, 297.57034, 7.8502007, 2.525604388784241, 0.0064810696399931755, 104.25298097197174, 0.18753409456089543, 3, 2, 0, 1, 2, 50, 309.01007, 14.409312, 12.166820734527594, 0.0016794143931860295, 104.24342746745268, 3.3291267481506885, 2, 3, 0, 2, 1, 45, 263.06345, 7.281036, 36.674065589876776, 0.01194315586471656, 115.78014641910315, 0.3165759979847764, 2, 1, 0, 0, 1]",1
"[50, 309.01007, 14.409312, 8.821312794410797, 0.02459841955158909, 115.11000114958857, 2.426940255479857, 2, 3, 1, 1, 1, 51, 297.57034, 7.8502007, 20.69146788831251, 0.019796764304781944, 125.25671550306079, 5.56853290906965, 3, 2, 1, 0, 0, 200, 306.11386, 63.916325, 52.45728727841768, 0.021736063025765417, 125.57470256461438, 4.604221833912502, 1, 2, 1, 1, 3]",3
"[200, 306.11386, 63.916325, 12.404971240030314, 0.036173657260904046, 97.38910974412538, 0.8792565557192423, 2, 1, 0, 2, 1, 211, 307.984, 85.638435, 17.727899175186074, 0.027160159049824828, 97.3008702950722, 0.27655339964979875, 1, 2, 1, 0, 2, 53, 301.70917, 89.07348, 17.818719446947537, 0.01615643573505865, 103.8284191510801, 3.418146053239592, 0, 1, 1, 1, 1]",1
"[160, 304.87125, 121.1573, 12.11395279439995, 0.03196024214835297, 136.28214316763555, 0.9916366662797822, 7, 2, 1, 1, 5, 120, 294.53757, 138.14888, 27.133008636192148, 0.033341641000563305, 162.2602674751431, 2.149955987310011, 6, 1, 1, 1, 5, 52, 295.2786, 97.66048, 33.10954012096582, 0.021674729673137272, 149.25069470458988, 2.246334128747936, 6, 2, 1, 1, 4]",3
"[160, 304.87125, 121.1573, 1.9886228568104183, 0.031060568477909667, 123.32503679881044, 4.133229319869575, 6, 2, 2, 1, 3, 120, 294.53757, 138.14888, 18.23069247231944, 0.03244196733012, 149.32979946676664, 0.9916366662797822, 5, 1, 0, 1, 3, 52, 295.2786, 97.66048, 27.239057557091336, 0.02077505600269397, 136.18660898602408, 0.8952585248418572, 5, 2, 0, 1, 2]",3
"[120, 294.53757, 138.14888, 13.952490273263628, 0.0004303360777712095, 155.69273972992002, 3.4744580681233246, 5, 1, 1, 4, 1, 101, 320.28833, 159.6085, 19.56792523870396, 0.01678817228499785, 116.55278271983384, 0.4878741124531094, 7, 1, 4, 3, 1, 160, 304.87125, 121.1573, 25.9382739205161, 0.0009510627744391265, 129.817919369943, 0.33286541453353125, 6, 0, 3, 2, 1]",3
"[109, 288.47574, 240.181, 13.74157945181523, 0.03574689303325396, 110.26839586838118, 5.944180765458169, 4, 1, 1, 1, 1, 231, 313.4506, 247.92422, 30.47336425110127, 0.03364553149865329, 97.19999363619385, 0.6368297917479024, 4, 1, 2, 0, 1, 54, 308.71475, 194.61925, 36.472789266181756, 0.021459136598433515, 123.2281242709306, 0.6705558431822691, 0, 1, 0, 1, 0]",1
"[119, 333.80475, 264.93433, 32.32729327612743, 0.025496929492934473, 110.39191195589004, 3.334087119236125, 6, 3, 4, 2, 1, 231, 313.4506, 247.92422, 37.09754993801915, 0.02035005654785782, 90.84012110563471, 5.104351175385742, 6, 3, 3, 1, 1, 204, 309.66248, 324.3365, 39.718296493583615, 0.007946224489287279, 142.7725056288931, 0.8671108438064341, 0, 1, 3, 1, 3]",3
"[170, 314.9948, 350.63596, 5.60330547781027, 0.14391163503673632, 162.11159207451888, 3.174101703240135, 1, 1, 1, 1, 2, 56, 306.552, 368.12732, 13.971603740269217, 0.1108982129941481, 162.05937261972582, 2.327603416881175, 2, 0, 2, 1, 1, 217, 294.36166, 371.56152, 24.703181537636464, 0.1276856210711903, 142.69349030997768, 0.8139892367086183, 0, 1, 0, 1, 0]",3
"[63, 379.82373, 22.839396, 28.546480389460612, 0.007699278321040115, 135.24087903847598, 1.3037455795348556, 6, 2, 0, 3, 1, 232, 336.26797, 63.35902, 31.76458059055273, 0.00039768263089129396, 132.72839568159745, 1.6641816438359085, 5, 2, 2, 3, 2, 50, 309.01007, 14.409312, 52.62216441769135, 0.006046782323710864, 121.67925562342855, 1.1250990500296543, 6, 3, 2, 1, 0]",3
